# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Action Index","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"动作索引","options":{"default":"Default"},"default_option_id":""},"2":{"aname":"Human bbox","anchor_id":"FILE1_Z0_XY1","type":1,"desc":"","options":{},"default_option_id":""},"3":{"aname":"Object bbox","anchor_id":"FILE1_Z0_XY1","type":1,"desc":"","options":{},"default_option_id":""},"4":{"aname":"connection","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"","options":{},"default_option_id":""},"5":{"aname":"invisibility","anchor_id":"FILE1_Z2_XY0","type":3,"desc":"","options":{"0":"1","1":"0"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_eJClCOxf","[""象印.mp4""]",0,"[6.60485]","[2,429.459,942.776,0,15.248]","{""1"":""安装盖板螺丝""}"
"1_pgB9zMtG","[""象印.mp4""]",0,"[6.60485]","[2,1085.08188,424.37647,642.91812,546.35341]","{""1"":""安装盖板螺丝"",""2"":""操作员"",""3"":"""",""4"":""1，1"",""5"":""0""}"
"1_UTQNDyUp","[""象印.mp4""]",0,"[6.60485]","[2,848.75294,541.27059,482.82353,426.91765]","{""1"":""安装盖板螺丝"",""3"":""盖板螺丝"",""4"":""1，1"",""5"":""0""}"
"1_0XMSJtTQ","[""象印.mp4""]",0,"[9.71655]","[2,1074.918,114.353,653.082,861.45876]","{""1"":""安装盖板螺丝"",""2"":""操作员"",""4"":""1，1"",""5"":""0""}"
"1_GAO7WXpC","[""象印.mp4""]",0,"[9.71655]","[2,846.212,576.847,490.447,401.506]","{""1"":""安装盖板螺丝"",""3"":""盖板螺丝"",""4"":""1，1"",""5"":""0""}"
"1_3MZVlH6L","[""象印.mp4""]",0,"[16.30055]","[2,993.60012,99.10571,759.81164,294.77664]","{""1"":""取螺丝"",""2"":""操作员"",""4"":""1，2"",""5"":""0""}"
"1_62HAGtwb","[""象印.mp4""]",0,"[16.30055]","[2,930.071,477.741,467.576,345.6]","{""1"":""取螺丝"",""3"":""螺丝"",""4"":""1，2"",""5"":""0""}"
"1_OO8SEwDq","[""象印.mp4""]",0,"[14.87996]","[2,1072.376,104.188,653.08282,284.612]","{""1"":""取螺丝"",""2"":""操作员"",""4"":""1，2"",""5"":""0""}"
"1_gVytjVKi","[""象印.mp4""]",0,"[14.87996]","[2,927.529,424.376,449.789,340.518]","{""1"":""取螺丝"",""3"":""螺丝"",""4"":""1，2"",""5"":""0""}"
"1_CvmUVX0Q","[""象印.mp4""]",0,"[6.94869]","[2,1105.41176,381.176,698.82324,627.671]","{""1"":""安装盖板螺丝"",""2"":""操作员"",""4"":""1，1"",""5"":""0""}"
"1_H3bDwnoZ","[""象印.mp4""]",0,"[6.94869]","[2,848.75294,548.894,470.11806,434.541]","{""1"":""安装盖板螺丝"",""3"":""盖板螺丝"",""4"":""1，1"",""5"":""0""}"
"1_sBpYfyQm","[""象印.mp4""]",0,"[9.6187]","[2,1092.70589,302.40035,632.75329,670.87]","{""1"":""安装盖板螺丝"",""2"":""操作员"",""4"":""1，1"",""5"":""0""}"
"1_U6JzOIsJ","[""象印.mp4""]",0,"[9.6187]","[2,828.424,541.27059,503.152,432.00041]","{""1"":""安装盖板螺丝"",""3"":""盖板螺丝"",""4"":""1，1"",""5"":""0""}"
"1_zH03mMDG","[""象印.mp4""]",0,"[13.53776]","[2,1077.459,109.271,0,2.541]","{""1"":""取螺丝""}"
"1_UaswhNMr","[""象印.mp4""]",0,"[13.53776]","[2,1079.99994,106.72894,653.082,592.095]","{""1"":""取螺丝"",""2"":""操作员"",""4"":""1，2"",""5"":""0""}"
"1_sCG6F5wc","[""象印.mp4""]",0,"[13.53776]","[2,945.31765,495.52941,406.58835,264.28259]","{""1"":""取螺丝"",""3"":""螺丝"",""4"":""1，2"",""5"":""0""}"
"1_FModaD9i","[""象印.mp4""]",0,"[14.94532]","[2,1095.247,94.024,658.165,744.564]","{""1"":""取螺丝"",""2"":""操作员"",""4"":""1，2"",""5"":""0""}"
"1_tt3Cbffh","[""象印.mp4""]",0,"[14.94532]","[2,894.494,457.412,447.24718,261.74094]","{""1"":""取螺丝"",""3"":""螺丝"",""4"":""1，2"",""5"":""0""}"
"1_YJzSffC4","[""象印.mp4""]",0,"[16.61536]","[2,1057.129,968.188,10.165,2.541]","{""1"":""取螺丝""}"
"1_b0oH22YM","[""象印.mp4""]",0,"[20.4462]","[2,716.612,96.565,1011.388,876.70559]","{""1"":""安装上盖板螺丝近"",""2"":""操作员"",""4"":""1，3"",""5"":""0""}"
"1_BbrSJ2yX","[""象印.mp4""]",0,"[20.4462]","[2,686.11765,330.35294,208.37635,185.50606]","{""1"":""安装上盖板螺丝近"",""3"":""上盖板螺丝近"",""4"":""1，3"",""5"":""0""}"
"1_CcOXHfUJ","[""象印.mp4""]",0,"[21.02581]","[2,757.271,116.894,965.647,861.459]","{""1"":""安装上盖板螺丝近"",""2"":""操作员"",""4"":""1，3"",""5"":""0""}"
"1_4lyt4CVt","[""象印.mp4""]",0,"[21.02581]","[2,772.51765,424.37647,137.22335,121.97653]","{""1"":""安装上盖板螺丝近"",""3"":""上盖板螺丝近"",""4"":""1，3"",""5"":""0""}"
"1_lpEdACWi","[""象印.mp4""]",0,"[22.2833]","[2,975.812,101.647,749.647,871.624]","{""1"":""安装上盖板螺丝近"",""2"":""操作员"",""4"":""1，3""}"
"1_WPBdXk7L","[""象印.mp4""]",0,"[22.2833]","[2,988.51765,612.42306,116.89411,157.55341]","{""1"":""安装上盖板螺丝近"",""3"":""上盖板螺丝近"",""4"":""1，3""}"
"1_ipjJk6Ie","[""象印.mp4""]",0,"[22.94879]","[2,1011.38824,106.729,716.61176,861.459]","{""1"":""安装上盖板螺丝近"",""2"":""操作员"",""4"":""1，3"",""5"":""0""}"
"1_NPWP4A9J","[""象印.mp4""]",0,"[22.94879]","[2,1031.71764,701.36471,101.64707,119.43529]","{""1"":""安装上盖板螺丝近"",""3"":""上盖板螺丝近"",""4"":""1，3"",""5"":""0""}"
"1_FITBXYdX","[""象印.mp4""]",0,"[32.63876]","[2,1029.176,111.812,698.824,851.294]","{""1"":""安装显示板螺丝"",""2"":""操作员"",""4"":""1，4"",""5"":""0""}"
